ชีต (วันตรวจ),ตำแหน่งฟัน,บุ้งกี๋,ปัญหาที่พบ,ความยาว(cm)
อายุฟัน 11-10-67,T5,B7,ความยาว 20.5 > เดิม 20 cm,20.5
อายุฟัน 11-10-67,T7,B7,ความยาว 28 > เดิม 20 cm,28
อายุฟัน 12-3-68,T10,B14,ความยาว 22 > เดิม 20 cm,22
อายุฟัน 12-3-68,T10,B8,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),20
อายุฟัน 12-3-68,T13,B10,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),20
อายุฟัน 12-3-68,T13,B15,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),20
อายุฟัน 12-3-68,T13,B5,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),20
อายุฟัน 12-3-68,T5,B12,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),20
อายุฟัน 12-3-68,T6,B11,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),20
อายุฟัน 12-3-68,T6,B13,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),20
อายุฟัน 12-3-68,T6,B7,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),20
อายุฟัน 13-2-68,T10,B14,ความยาว 22 > เดิม 20 cm,22
อายุฟัน 14-5-68,T10,B14,ความยาว 22 > เดิม 20 cm,22
อายุฟัน 14-5-68,T10,B8,ความยาว 28 > เดิม 20 cm,28
อายุฟัน 16-4-68,T10,B14,ความยาว 22 > เดิม 20 cm,22
อายุฟัน 16-4-68,T10,B8,ความยาว 28 > เดิม 20 cm,28
อายุฟัน 17-10-67,T13,B14,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),20
อายุฟัน 17-10-67,T13,B18,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),20
อายุฟัน 17-10-67,T13,B8,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),20
อายุฟัน 17-10-67,T5,B7,ความยาว 20.5 > เดิม 20 cm,20.5
อายุฟัน 17-10-67,T7,B13,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),20
อายุฟัน 17-10-67,T7,B17,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),20
อายุฟัน 17-10-67,T7,B7,ความยาว 28 > เดิม 20 cm,28
อายุฟัน 17-10-67,T8,B1,อายุ = 0 (วันติดตั้งหลังวันตรวจ?),28
อายุฟัน 19-3-68,T10,B14,ความยาว 22 > เดิม 20 cm,22
อายุฟัน 20-2-68,T10,B14,ความยาว 22 > เดิม 20 cm,22
อายุฟัน 21-5-68,T10,B14,ความยาว 22 > เดิม 20 cm,22
อายุฟัน 21-5-68,T10,B8,ความยาว 28 > เดิม 20 cm,28
