id,date,shift,machine,location,loctype,dept,category,description,start,end,duration_hr,freq
d20250501-01,2025-05-01,Night,BWE1,BWE1,machine,OPT,Other,ย้าย floor ขุด,00:00,00:06,0.1,1
d20250501-02,2025-05-01,Night,BWE1,BWE1,machine,OPT,Other,Clear track,01:16,01:25,0.15,1
d20250501-03,2025-05-01,Night,BWE1,BWE1,machine,OPT,Other,ย้าย floor ขุด,02:26,02:31,0.08,1
d20250501-04,2025-05-01,Night,BWE1,BWE1,machine,EE,CM,ติดสัญญาณ HOS reset ไม่หาย,03:44,04:15,0.52,1
d20250501-05,2025-05-01,Night,BWE1,BWE1,machine,CV,CM,ตัดสลิงขอบข้างสายพาน Wheel Boom,04:54,05:06,0.2,1
d20250501-06,2025-05-01,Night,BWE1,BWE1,machine,OPT,Other,ย้าย floor ขุด,05:06,05:12,0.1,1
d20250501-07,2025-05-01,Night,BWE1,A2.1,line,CV,CM,Belt rip trip,05:12,05:36,0.4,1
d20250501-08,2025-05-01,Day,BWE1,Line A,line,EE,CM,ไฟฟ้าแรงสูงแก้ไขสายไฟ,07:00,08:27,1.45,1
d20250501-09,2025-05-01,Day,BWE1,BWE1,machine,ME,CM,หยุดแก้ไข Slew Discharge,09:12,10:15,1.05,1
d20250501-10,2025-05-01,Day,BWE1,BWE1,machine,ME,CM,อัดจาระบี Slew Discharge,10:15,11:22,1.12,1
d20250501-11,2025-05-01,Day,BWE1,BWE1,machine,ME,CM,เชื่อมการ์ด,11:22,11:39,0.28,1
d20250501-12,2025-05-01,Day,BWE1,BWE1,machine,OPT,Idle,ย้ายหน้าขุด,11:39,12:03,0.4,1
d20250501-13,2025-05-01,Day,BWE1,BWE1,machine,OPT,Other,ย้าย floor ขุด,13:00,13:17,0.28,1
d20250501-14,2025-05-01,Day,BWE1,BWE1,machine,OPT,Other,ย้าย floor ขุด,15:15,15:27,0.2,1
d20250501-15,2025-05-01,Day,BWE1,BWE1,machine,OPT,Other,ย้าย floor ขุด,16:26,16:30,0.07,1
d20250501-16,2025-05-01,Day,BWE1,BWE1,machine,OPT,Other,ย้าย floor ขุด,16:56,17:04,0.13,1
d20250501-17,2025-05-01,Day,BWE1,BWE1,machine,CV,CM,ตัดสลิงขอบข้างสายพาน Wheel Boom,17:47,18:04,0.28,1
d20250501-18,2025-05-01,Day,BWE1,BWE1,machine,OPT,Other,ย้าย floor ขุด,18:30,18:36,0.1,1
d20250501-19,2025-05-01,Night,BWE1,BWE1,machine,OPT,Other,ย้าย floor ขุด,19:24,19:34,0.17,1
d20250501-20,2025-05-01,Night,BWE1,A9.1,line,EE,CM,Communication Fail,19:34,19:49,0.25,1
d20250501-21,2025-05-01,Night,BWE1,BWE1,machine,OPT,Other,ย้าย floor ขุด,21:56,22:02,0.1,1
d20250501-22,2025-05-01,Night,BWE1,BWE1,machine,OPT,Other,Clear track,23:12,23:19,0.12,1
d20250502-01,2025-05-02,Night,BWE1,BWE1,machine,OPT,Other,Clear track,02:36,02:42,0.1,1
d20250502-02,2025-05-02,Night,BWE1,BWE1,machine,OPT,Other,ย้าย floor ขุด,03:20,03:24,0.07,1
d20250502-03,2025-05-02,Night,BWE1,BWE1,machine,OPT,Other,ย้าย floor ขุด,03:48,03:58,0.17,1
