date,by,blast_pattern,step_b1,step_b2,smu_b1,smu_b2,day_b1_lt,day_b1_vol,day_b2_lt,day_b2_vol,day_a9,day_lost,night_b1_lt,night_b1_vol,night_b2_lt,night_b2_vol,night_a9,night_lost
2025-09-01,,,,,,,0,0.0,0.68,163.75,1.26,,0,0.0,5.4,3668.13,6.42,
2025-09-02,,,,,,,0,0.0,2.95,1943.75,3.41,,0,0.0,6.59,3998.75,8.53,
2025-09-03,,,,,,,0,0.0,4.34,3309.38,5.39,,0,0.0,3.9,2503.75,6.4,
2025-09-04,,,,,,,0,0.0,1.85,920.0,2.16,,0,0.0,6.88,3361.25,9.38,
2025-09-05,,,,,,,0,0.0,5.0,2212.5,6.09,,0,0.0,3.87,1921.25,4.43,
2025-09-06,,,,,,,0,0.0,7.08,4442.5,8.55,,0,0.0,6.01,3150.0,7.29,
2025-09-07,,,,,,,0,0.0,3.58,1593.75,4.25,,0,0.0,3.5,1143.13,4.0,
2025-09-12,,,,,,,0,0.0,0,0,0,,0,0.0,4.18,1346.25,5.37,
2025-09-13,,,,,,,0,0.0,0,0,0,,0,0.0,5.08,693.13,6.59,
2025-09-14,,,,,,,0,0.0,0.6,63.75,1.15,,0,0.0,6.02,3326.88,11.0,
