date,machine,smu,short_len,long_len,short_threshold,long_threshold,avg_age
2024-10-03,BWE1,6567,18.11,25.15,15.5,16.5,1001
2024-10-11,BWE1,6605,18.11,25.15,15.5,16.5,1039
2024-10-17,BWE1,6605,18.15,25.17,15.5,16.5,999
2024-12-26,BWE1,6659,18.17,25.17,15.5,16.5,1049
2025-01-08,BWE1,6786,18.22,25.32,15.5,16.5,1088
2025-01-30,BWE1,6997,17.99,25.0,15.5,16.5,1150
2025-02-07,BWE1,7065,17.99,25.01,15.5,16.5,1211
2025-02-13,BWE1,7141,18.06,25.33,15.5,16.5,1156
2025-02-20,BWE1,7190,18.12,25.47,15.5,16.5,1156
2025-02-27,BWE1,7190,18.13,25.56,15.5,16.5,1116
2025-03-05,BWE1,7254,18.17,25.78,15.5,16.5,1113
2025-03-12,BWE1,7319,18.27,26.08,15.5,16.5,1031
2025-03-19,BWE1,7377,18.32,26.11,15.5,16.5,1033
2025-03-27,BWE1,7440,18.43,26.13,15.5,16.5,1008
2025-04-03,BWE1,7471,18.43,26.2,15.5,16.5,1016
2025-04-09,BWE1,7525,18.46,26.38,15.5,16.5,986
2025-04-16,BWE1,7558,18.47,26.38,15.5,16.5,1015
2025-04-23,BWE1,7612,18.51,26.42,15.5,16.5,1012
2025-04-30,BWE1,7670,18.47,26.42,15.5,16.5,1111
2025-05-07,BWE1,7727,18.47,26.42,15.5,16.5,1163
2025-05-14,BWE1,7777,18.54,26.58,15.5,16.5,1163
2025-05-21,BWE1,7777,18.54,26.58,15.5,16.5,1163
